id,financier,recipient,commitYear,status,intent,flowType,sectorName
65676,China (People's Republic of),Angola,2017,Completion,Development,Loan,WATER SUPPLY AND SANITATION
66314,China (People's Republic of),Angola,2017,Completion,Development,Loan,TRANSPORT AND STORAGE
67496,China (People's Republic of),Angola,2017,Implementation,Development,Loan,"INDUSTRY, MINING, CONSTRUCTION"
67727,China (People's Republic of),Angola,2017,Completion,Development,Free-standing technical assistance,HEALTH
72349,China (People's Republic of),Angola,2017,Suspended,Development,Loan,TRANSPORT AND STORAGE
73559,China (People's Republic of),Angola,2017,Implementation,Development,Loan,WATER SUPPLY AND SANITATION
59438,China (People's Republic of),Benin,2017,Completion,Development,Free-standing technical assistance,HEALTH
59738,China (People's Republic of),Benin,2017,Completion,Development,Grant,GOVERNMENT AND CIVIL SOCIETY
59754,China (People's Republic of),Benin,2017,Completion,Development,Grant,GOVERNMENT AND CIVIL SOCIETY
58033,China (People's Republic of),Botswana,2017,Implementation,Development,Free-standing technical assistance,HEALTH
56083,China (People's Republic of),Cabo Verde,2017,Implementation,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
53116,China (People's Republic of),Cameroon,2017,Completion,Development,Loan,TRANSPORT AND STORAGE
53396,China (People's Republic of),Cameroon,2017,Completion,Mixed,Export Buyer's Credit,TRANSPORT AND STORAGE
53477,China (People's Republic of),Cameroon,2017,Implementation,Development,Grant,GOVERNMENT AND CIVIL SOCIETY
57586,China (People's Republic of),Cameroon,2017,Implementation,Development,Loan,ENERGY
60021,China (People's Republic of),Cameroon,2017,Completion,Development,Grant,GENERAL ENVIRONMENTAL PROTECTION
70577,China (People's Republic of),Cameroon,2017,Completion,Representational,Grant,EDUCATION
70666,China (People's Republic of),Cameroon,2017,Completion,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
72107,China (People's Republic of),Cameroon,2017,Pipeline: Pledge,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
56700,China (People's Republic of),Chad,2017,Completion,Development,Free-standing technical assistance,HEALTH
57806,China (People's Republic of),Congo,2017,Completion,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
59422,China (People's Republic of),Congo,2017,Completion,Development,Grant,HEALTH
59473,China (People's Republic of),Congo,2017,Completion,Development,Free-standing technical assistance,HEALTH
73659,China (People's Republic of),Congo,2017,Pipeline: Commitment,Development,Grant,"INDUSTRY, MINING, CONSTRUCTION"
71375,China (People's Republic of),Cote d'Ivoire,2017,Completion,Development,Loan,TRANSPORT AND STORAGE
71377,China (People's Republic of),Cote d'Ivoire,2017,Implementation,Development,Loan,TRANSPORT AND STORAGE
85370,China (People's Republic of),Cote d'Ivoire,2017,Completion,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
58856,China (People's Republic of),Democratic Republic of the Congo,2017,Implementation,Development,Grant,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
58928,China (People's Republic of),Democratic Republic of the Congo,2017,Completion,Representational,Grant,EDUCATION
59522,China (People's Republic of),Democratic Republic of the Congo,2017,Completion,Development,Vague TBD,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
59524,China (People's Republic of),Democratic Republic of the Congo,2017,Implementation,Development,Vague TBD,TRANSPORT AND STORAGE
59533,China (People's Republic of),Democratic Republic of the Congo,2017,Implementation,Development,Vague TBD,OTHER SOCIAL INFRASTRUCTURE AND SERVICES
59393,China (People's Republic of),Djibouti,2017,Completion,Commercial,Supplier's Credit/Export Seller's Credit,TRADE POLICIES AND REGULATIONS
85139,China (People's Republic of),Djibouti,2017,Pipeline: Pledge,Mixed,Loan,"INDUSTRY, MINING, CONSTRUCTION"
57855,China (People's Republic of),Egypt,2017,Completion,Commercial,Loan,ENERGY
58505,China (People's Republic of),Egypt,2017,Implementation,Development,Grant,"INDUSTRY, MINING, CONSTRUCTION"
59501,China (People's Republic of),Egypt,2017,Completion,Development,Grant,"INDUSTRY, MINING, CONSTRUCTION"
62131,China (People's Republic of),Equatorial Guinea,2017,Implementation,Mixed,Export Buyer's Credit,"INDUSTRY, MINING, CONSTRUCTION"
56080,China (People's Republic of),Eritrea,2017,Completion,Development,Free-standing technical assistance,HEALTH
48765,China (People's Republic of),Ethiopia,2017,Implementation,Mixed,Export Buyer's Credit,ENERGY
48766,China (People's Republic of),Ethiopia,2017,Implementation,Mixed,Export Buyer's Credit,TRANSPORT AND STORAGE
48767,China (People's Republic of),Ethiopia,2017,Completion,Mixed,Export Buyer's Credit,"INDUSTRY, MINING, CONSTRUCTION"
